question,sql
How many games are held after season 2007?,SELECT COUNT(*) FROM `game` WHERE `season` > 2007
List the dates of games by the home team name in descending order.,SELECT `Date` FROM `game` ORDER BY `home_team` DESC
"List the season, home team, away team of all the games.","SELECT `season`, `home_team`, `away_team` FROM `game`"
"What are the maximum, minimum and average home games each stadium held?","SELECT MAX(`home_games`), MIN(`home_games`), AVG(`home_games`) FROM `stadium`"
What is the average attendance of stadiums with capacity percentage higher than 100%?,SELECT `average_attendance` FROM `stadium` WHERE `capacity_percentage` > 100
"What are the player name, number of matches, and information source for players who do not suffer from injury of 'Knee problem'?","SELECT `player`, `number_of_matches`, `SOURCE` FROM `injury_accident` WHERE `injury` <> 'Knee problem'"
What is the season of the game which causes the player 'Walter Samuel' to get injured?,SELECT `t1`.`season` FROM `game` AS `t1` JOIN `injury_accident` AS `t2` ON `t1`.`id` = `t2`.`game_id` WHERE `t2`.`player` = 'Walter Samuel'
"What are the ids, scores, and dates of the games which caused at least two injury accidents?","SELECT `t1`.`id`, `t1`.`score`, `t1`.`date` FROM `game` AS `t1` JOIN `injury_accident` AS `t2` ON `t2`.`game_id` = `t1`.`id` GROUP BY `t1`.`id`, `t1`.`score`, `t1`.`date` HAVING COUNT(*) >= 2"
What are the id and name of the stadium where the most injury accidents happened?,"SELECT `t1`.`id`, `t1`.`name` FROM `stadium` AS `t1` JOIN `game` AS `t2` ON `t1`.`id` = `t2`.`stadium_id` JOIN `injury_accident` AS `t3` ON `t2`.`id` = `t3`.`game_id` GROUP BY `t1`.`id`, `t1`.`name` ORDER BY COUNT(*) DESC LIMIT 1"
Find the id and name of the stadium where the largest number of injury accidents occurred.,"SELECT `t1`.`id`, `t1`.`name` FROM `stadium` AS `t1` JOIN `game` AS `t2` ON `t1`.`id` = `t2`.`stadium_id` JOIN `injury_accident` AS `t3` ON `t2`.`id` = `t3`.`game_id` GROUP BY `t1`.`id`, `t1`.`name` ORDER BY COUNT(*) DESC LIMIT 1"
In which season and which stadium did any player have an injury of 'Foot injury' or 'Knee problem'?,"SELECT `t1`.`season`, `t2`.`name` FROM `game` AS `t1` JOIN `stadium` AS `t2` ON `t1`.`stadium_id` = `t2`.`id` JOIN `injury_accident` AS `t3` ON `t1`.`id` = `t3`.`game_id` WHERE `t3`.`injury` = 'Foot injury' OR `t3`.`injury` = 'Knee problem'"
How many different kinds of information sources are there for injury accidents?,SELECT COUNT(DISTINCT `SOURCE`) FROM `injury_accident`
How many games are free of injury accidents?,SELECT COUNT(*) FROM `game` WHERE NOT `id` IN (SELECT `game_id` FROM `injury_accident`)
How many distinct kinds of injuries happened after season 2010?,SELECT COUNT(DISTINCT `t1`.`injury`) FROM `injury_accident` AS `t1` JOIN `game` AS `t2` ON `t1`.`game_id` = `t2`.`id` WHERE `t2`.`season` > 2010
List the name of the stadium where both the player 'Walter Samuel' and the player 'Thiago Motta' got injured.,SELECT `t2`.`name` FROM `game` AS `t1` JOIN `stadium` AS `t2` ON `t1`.`stadium_id` = `t2`.`id` JOIN `injury_accident` AS `t3` ON `t1`.`id` = `t3`.`game_id` WHERE `t3`.`player` = 'Walter Samuel' INTERSECT SELECT `t2`.`name` FROM `game` AS `t1` JOIN `stadium` AS `t2` ON `t1`.`stadium_id` = `t2`.`id` JOIN `injury_accident` AS `t3` ON `t1`.`id` = `t3`.`game_id` WHERE `t3`.`player` = 'Thiago Motta'
"Show the name, average attendance, total attendance for stadiums where no accidents happened.","SELECT `name`, `average_attendance`, `total_attendance` FROM `stadium` EXCEPT SELECT `t2`.`name`, `t2`.`average_attendance`, `t2`.`total_attendance` FROM `game` AS `t1` JOIN `stadium` AS `t2` ON `t1`.`stadium_id` = `t2`.`id` JOIN `injury_accident` AS `t3` ON `t1`.`id` = `t3`.`game_id`"
"Which stadium name contains the substring ""Bank""?",SELECT `name` FROM `stadium` WHERE `name` LIKE '%Bank%'
How many games has each stadium held?,"SELECT `t1`.`id`, COUNT(*) FROM `stadium` AS `t1` JOIN `game` AS `t2` ON `t1`.`id` = `t2`.`stadium_id` GROUP BY `t1`.`id`"
"For each injury accident, find the date of the game and the name of the injured player in the game, and sort the results in descending order of game season.","SELECT `t1`.`date`, `t2`.`player` FROM `game` AS `t1` JOIN `injury_accident` AS `t2` ON `t1`.`id` = `t2`.`game_id` ORDER BY `t1`.`season` DESC"
