question,sql
List the names of all the customers in alphabetical order.,SELECT `customer_details` FROM `Customers` ORDER BY `customer_details`
Sort the customer names in alphabetical order.,SELECT `customer_details` FROM `Customers` ORDER BY `customer_details`
"Find all the policy type codes associated with the customer ""Dayana Robel""",SELECT `policy_type_code` FROM `Policies` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_details` = 'Dayana Robel'
"What are the type codes of the policies used by the customer ""Dayana Robel""?",SELECT `policy_type_code` FROM `Policies` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_details` = 'Dayana Robel'
Which type of policy is most frequently used? Give me the policy type code.,SELECT `policy_type_code` FROM `Policies` GROUP BY `policy_type_code` ORDER BY COUNT(*) DESC LIMIT 1
Find the type code of the most frequently used policy.,SELECT `policy_type_code` FROM `Policies` GROUP BY `policy_type_code` ORDER BY COUNT(*) DESC LIMIT 1
Find all the policy types that are used by more than 2 customers.,SELECT `policy_type_code` FROM `Policies` GROUP BY `policy_type_code` HAVING COUNT(*) > 2
Which types of policy are chosen by more than 2 customers? Give me the policy type codes.,SELECT `policy_type_code` FROM `Policies` GROUP BY `policy_type_code` HAVING COUNT(*) > 2
Find the total and average amount paid in claim headers.,"SELECT SUM(`amount_piad`), AVG(`amount_piad`) FROM `Claim_Headers`"
What are the total amount and average amount paid in claim headers?,"SELECT SUM(`amount_piad`), AVG(`amount_piad`) FROM `Claim_Headers`"
Find the total amount claimed in the most recently created document.,SELECT SUM(`t1`.`amount_claimed`) FROM `Claim_Headers` AS `t1` JOIN `Claims_Documents` AS `t2` ON `t1`.`claim_header_id` = `t2`.`claim_id` WHERE `t2`.`created_date` = (SELECT `created_date` FROM `Claims_Documents` ORDER BY `created_date` LIMIT 1)
How much amount in total were claimed in the most recently created document?,SELECT SUM(`t1`.`amount_claimed`) FROM `Claim_Headers` AS `t1` JOIN `Claims_Documents` AS `t2` ON `t1`.`claim_header_id` = `t2`.`claim_id` WHERE `t2`.`created_date` = (SELECT `created_date` FROM `Claims_Documents` ORDER BY `created_date` LIMIT 1)
What is the name of the customer who has made the largest amount of claim in a single claim?,SELECT `t3`.`customer_details` FROM `Claim_Headers` AS `t1` JOIN `Policies` AS `t2` ON `t1`.`policy_id` = `t2`.`policy_id` JOIN `Customers` AS `t3` ON `t2`.`customer_id` = `t3`.`customer_id` WHERE `t1`.`amount_claimed` = (SELECT MAX(`amount_claimed`) FROM `Claim_Headers`)
Which customer made the largest amount of claim in a single claim? Return the customer details.,SELECT `t3`.`customer_details` FROM `Claim_Headers` AS `t1` JOIN `Policies` AS `t2` ON `t1`.`policy_id` = `t2`.`policy_id` JOIN `Customers` AS `t3` ON `t2`.`customer_id` = `t3`.`customer_id` WHERE `t1`.`amount_claimed` = (SELECT MAX(`amount_claimed`) FROM `Claim_Headers`)
What is the name of the customer who has made the minimum amount of payment in one claim?,SELECT `t3`.`customer_details` FROM `Claim_Headers` AS `t1` JOIN `Policies` AS `t2` ON `t1`.`policy_id` = `t2`.`policy_id` JOIN `Customers` AS `t3` ON `t2`.`customer_id` = `t3`.`customer_id` WHERE `t1`.`amount_piad` = (SELECT MIN(`amount_piad`) FROM `Claim_Headers`)
Which customer made the smallest amount of claim in one claim? Return the customer details.,SELECT `t3`.`customer_details` FROM `Claim_Headers` AS `t1` JOIN `Policies` AS `t2` ON `t1`.`policy_id` = `t2`.`policy_id` JOIN `Customers` AS `t3` ON `t2`.`customer_id` = `t3`.`customer_id` WHERE `t1`.`amount_piad` = (SELECT MIN(`amount_piad`) FROM `Claim_Headers`)
Find the names of customers who have no policies associated.,SELECT `customer_details` FROM `Customers` EXCEPT SELECT `t2`.`customer_details` FROM `Policies` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id`
What are the names of customers who do not have any policies?,SELECT `customer_details` FROM `Customers` EXCEPT SELECT `t2`.`customer_details` FROM `Policies` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id`
How many claim processing stages are there in total?,SELECT COUNT(*) FROM `Claims_Processing_Stages`
Find the number of distinct stages in claim processing.,SELECT COUNT(*) FROM `Claims_Processing_Stages`
