question,sql
How many players are there?,SELECT COUNT(*) FROM `player`
List the names of players in ascending order of votes.,SELECT `Player_name` FROM `player` ORDER BY `Votes` ASC
What are the gender and occupation of players?,"SELECT `Gender`, `Occupation` FROM `player`"
"List the name and residence for players whose occupation is not ""Researcher"".","SELECT `Player_name`, `residence` FROM `player` WHERE `Occupation` <> 'Researcher'"
"Show the names of sponsors of players whose residence is either ""Brandon"" or ""Birtle"".",SELECT `Sponsor_name` FROM `player` WHERE `Residence` = 'Brandon' OR `Residence` = 'Birtle'
What is the name of the player with the largest number of votes?,SELECT `Player_name` FROM `player` ORDER BY `Votes` DESC LIMIT 1
Show different occupations along with the number of players in each occupation.,"SELECT `Occupation`, COUNT(*) FROM `player` GROUP BY `Occupation`"
Please show the most common occupation of players.,SELECT `Occupation` FROM `player` GROUP BY `Occupation` ORDER BY COUNT(*) DESC LIMIT 1
Show the residences that have at least two players.,SELECT `Residence` FROM `player` GROUP BY `Residence` HAVING COUNT(*) >= 2
Show the names of players and names of their coaches.,"SELECT `t3`.`Player_name`, `t2`.`coach_name` FROM `player_coach` AS `t1` JOIN `coach` AS `t2` ON `t1`.`Coach_ID` = `t2`.`Coach_ID` JOIN `player` AS `t3` ON `t1`.`Player_ID` = `t3`.`Player_ID`"
Show the names of players coached by the rank 1 coach.,SELECT `t3`.`Player_name` FROM `player_coach` AS `t1` JOIN `coach` AS `t2` ON `t1`.`Coach_ID` = `t2`.`Coach_ID` JOIN `player` AS `t3` ON `t1`.`Player_ID` = `t3`.`Player_ID` WHERE `t2`.`Rank` = 1
Show the names and genders of players with a coach starting after 2011.,"SELECT `t3`.`Player_name`, `t3`.`gender` FROM `player_coach` AS `t1` JOIN `coach` AS `t2` ON `t1`.`Coach_ID` = `t2`.`Coach_ID` JOIN `player` AS `t3` ON `t1`.`Player_ID` = `t3`.`Player_ID` WHERE `t1`.`Starting_year` > 2011"
Show the names of players and names of their coaches in descending order of the votes of players.,"SELECT `t3`.`Player_name`, `t2`.`coach_name` FROM `player_coach` AS `t1` JOIN `coach` AS `t2` ON `t1`.`Coach_ID` = `t2`.`Coach_ID` JOIN `player` AS `t3` ON `t1`.`Player_ID` = `t3`.`Player_ID` ORDER BY `t3`.`Votes` DESC"
List the names of players that do not have coaches.,SELECT `Player_name` FROM `player` WHERE NOT `Player_ID` IN (SELECT `Player_ID` FROM `player_coach`)
"Show the residences that have both a player of gender ""M"" and a player of gender ""F"".",SELECT `Residence` FROM `player` WHERE `gender` = 'M' INTERSECT SELECT `Residence` FROM `player` WHERE `gender` = 'F'
"How many coaches does each club has? List the club id, name and the number of coaches.","SELECT `t1`.`club_id`, `t1`.`club_name`, COUNT(*) FROM `club` AS `t1` JOIN `coach` AS `t2` ON `t1`.`club_id` = `t2`.`club_id` GROUP BY `t1`.`club_id`, `t1`.`club_name`"
How many gold medals has the club with the most coaches won?,"SELECT `t1`.`club_id`, `t1`.`gold` FROM `match_result` AS `t1` JOIN `coach` AS `t2` ON `t1`.`club_id` = `t2`.`club_id` GROUP BY `t1`.`club_id`, `t1`.`gold` ORDER BY COUNT(*) DESC LIMIT 1"
