question,sql
How many counties are there in total?,SELECT count(*) FROM county
Count the total number of counties.,SELECT count(*) FROM county
Show the county name and population of all counties.,"SELECT County_name ,  Population FROM county"
What are the name and population of each county?,"SELECT County_name ,  Population FROM county"
Show the average population of all counties.,SELECT avg(Population) FROM county
On average how large is the population of the counties?,SELECT avg(Population) FROM county
Return the maximum and minimum population among all counties.,"SELECT max(Population) ,  min(Population) FROM county"
What are the maximum and minimum population of the counties?,"SELECT max(Population) ,  min(Population) FROM county"
Show all the distinct districts for elections.,SELECT DISTINCT District FROM election
What are the distinct districts for elections?,SELECT DISTINCT District FROM election
"Show the zip code of the county with name ""Howard"".","SELECT Zip_code FROM county WHERE County_name  =  ""Howard"""
"What is the zip code the county named ""Howard"" is located in?","SELECT Zip_code FROM county WHERE County_name  =  ""Howard"""
Show the delegate from district 1 in election.,SELECT Delegate FROM election WHERE District  =  1
Who is the delegate of district 1 in the elections?,SELECT Delegate FROM election WHERE District  =  1
Show the delegate and committee information of elections.,"SELECT Delegate ,  Committee FROM election"
What are the delegate and committee information for each election record?,"SELECT Delegate ,  Committee FROM election"
How many distinct governors are there?,SELECT count(DISTINCT Governor) FROM party
Count the number of distinct governors.,SELECT count(DISTINCT Governor) FROM party
Show the lieutenant governor and comptroller from the democratic party.,"SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic"""
Who are the lieutenant governor and comptroller from the democratic party?,"SELECT Lieutenant_Governor ,  Comptroller FROM party WHERE Party  =  ""Democratic"""
"In which distinct years was the governor ""Eliot Spitzer""?","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer"""
"Find the distinct years when the governor was named ""Eliot Spitzer"".","SELECT DISTINCT YEAR FROM party WHERE Governor  =  ""Eliot Spitzer"""
Show all the information about election.,SELECT * FROM election
Return all the information for each election record.,SELECT * FROM election
