question,sql
How many allergies are there?,SELECT COUNT(DISTINCT `allergy`) FROM `Allergy_type`
How many allergy entries are there?,SELECT COUNT(DISTINCT `allergy`) FROM `Allergy_type`
How many different allergy types exist?,SELECT COUNT(DISTINCT `allergytype`) FROM `Allergy_type`
How many distinct allergies are there?,SELECT COUNT(DISTINCT `allergytype`) FROM `Allergy_type`
Show all allergy types.,SELECT DISTINCT `allergytype` FROM `Allergy_type`
What are the different allergy types?,SELECT DISTINCT `allergytype` FROM `Allergy_type`
Show all allergies and their types.,"SELECT `allergy`, `allergytype` FROM `Allergy_type`"
What are the allergies and their types?,"SELECT `allergy`, `allergytype` FROM `Allergy_type`"
Show all allergies with type food.,SELECT DISTINCT `allergy` FROM `Allergy_type` WHERE `allergytype` = `food`
What are all the different food allergies?,SELECT DISTINCT `allergy` FROM `Allergy_type` WHERE `allergytype` = `food`
What is the type of allergy Cat?,SELECT `allergytype` FROM `Allergy_type` WHERE `allergy` = `Cat`
What is allergy type of a cat allergy?,SELECT `allergytype` FROM `Allergy_type` WHERE `allergy` = `Cat`
How many allergies have type animal?,SELECT COUNT(*) FROM `Allergy_type` WHERE `allergytype` = `animal`
How many animal type allergies exist?,SELECT COUNT(*) FROM `Allergy_type` WHERE `allergytype` = `animal`
Show all allergy types and the number of allergies in each type.,"SELECT `allergytype`, COUNT(*) FROM `Allergy_type` GROUP BY `allergytype`"
What are the allergy types and how many allergies correspond to each one?,"SELECT `allergytype`, COUNT(*) FROM `Allergy_type` GROUP BY `allergytype`"
Which allergy type has most number of allergies?,SELECT `allergytype` FROM `Allergy_type` GROUP BY `allergytype` ORDER BY COUNT(*) DESC LIMIT 1
Which allergy type is most common?,SELECT `allergytype` FROM `Allergy_type` GROUP BY `allergytype` ORDER BY COUNT(*) DESC LIMIT 1
Which allergy type has least number of allergies?,SELECT `allergytype` FROM `Allergy_type` GROUP BY `allergytype` ORDER BY COUNT(*) ASC LIMIT 1
Which allergy type is the least common?,SELECT `allergytype` FROM `Allergy_type` GROUP BY `allergytype` ORDER BY COUNT(*) ASC LIMIT 1
How many students are there?,SELECT COUNT(*) FROM `Student`
What is the total number of students?,SELECT COUNT(*) FROM `Student`
Show first name and last name for all students.,"SELECT `Fname`, `Lname` FROM `Student`"
What are the full names of all students,"SELECT `Fname`, `Lname` FROM `Student`"
How many different advisors are listed?,SELECT COUNT(DISTINCT `advisor`) FROM `Student`
How many advisors are there?,SELECT COUNT(DISTINCT `advisor`) FROM `Student`
Show all majors.,SELECT DISTINCT `Major` FROM `Student`
What are the different majors?,SELECT DISTINCT `Major` FROM `Student`
Show all cities where students live.,SELECT DISTINCT `city_code` FROM `Student`
What cities do students live in?,SELECT DISTINCT `city_code` FROM `Student`
"Show first name, last name, age for all female students. Their sex is F.","SELECT `Fname`, `Lname`, `Age` FROM `Student` WHERE `Sex` = 'F'"
What are the full names and ages for all female students whose sex is F?,"SELECT `Fname`, `Lname`, `Age` FROM `Student` WHERE `Sex` = 'F'"
Show student ids for all male students.,SELECT `StuID` FROM `Student` WHERE `Sex` = 'M'
What are the student ids for all male students?,SELECT `StuID` FROM `Student` WHERE `Sex` = 'M'
How many students are age 18?,SELECT COUNT(*) FROM `Student` WHERE `age` = 18
How many students are 18 years old?,SELECT COUNT(*) FROM `Student` WHERE `age` = 18
Show all student ids who are older than 20.,SELECT `StuID` FROM `Student` WHERE `age` > 20
What are the student ids for students over 20 years old?,SELECT `StuID` FROM `Student` WHERE `age` > 20
"Which city does the student whose last name is ""Kim"" live in?",SELECT `city_code` FROM `Student` WHERE `LName` = `Kim`
Give the city that the student whose family name is Kim lives in.,SELECT `city_code` FROM `Student` WHERE `LName` = `Kim`
Who is the advisor of student with ID 1004?,SELECT `Advisor` FROM `Student` WHERE `StuID` = 1004
Who advises student 1004?,SELECT `Advisor` FROM `Student` WHERE `StuID` = 1004
How many students live in HKG or CHI?,SELECT COUNT(*) FROM `Student` WHERE `city_code` = `HKG` OR `city_code` = `CHI`
Give the number of students living in either HKG or CHI.,SELECT COUNT(*) FROM `Student` WHERE `city_code` = `HKG` OR `city_code` = `CHI`
"Show the minimum, average, and maximum age of all students.","SELECT MIN(`age`), AVG(`age`), MAX(`age`) FROM `Student`"
