question,sql
How many assessment notes are there in total?,SELECT count(*) FROM ASSESSMENT_NOTES
What are the dates of the assessment notes?,SELECT date_of_notes FROM Assessment_Notes
How many addresses have zip code 197?,"SELECT count(*) FROM ADDRESSES WHERE zip_postcode  =  ""197"""
How many distinct incident type codes are there?,SELECT count(DISTINCT incident_type_code) FROM Behavior_Incident
Return all distinct detention type codes.,SELECT DISTINCT detention_type_code FROM Detention
"What are the start and end dates for incidents with incident type code ""NOISE""?","SELECT date_incident_start ,  date_incident_end FROM Behavior_Incident WHERE incident_type_code  =  ""NOISE"""
Return all detention summaries.,SELECT detention_summary FROM Detention
Return the cell phone number and email address for all students.,"SELECT cell_mobile_number ,  email_address FROM STUDENTS"
"What is the email of the student with first name ""Emma"" and last name ""Rohan""?","SELECT email_address FROM Students WHERE first_name  =  ""Emma"" AND last_name  =  ""Rohan"""
How many distinct students have been in detention?,SELECT count(DISTINCT student_id) FROM Students_in_Detention
"What is the gender of the teacher with last name ""Medhurst""?","SELECT gender FROM TEACHERS WHERE last_name  =  ""Medhurst"""
"What is the incident type description for the incident type with code ""VIOLENCE""?","SELECT incident_type_description FROM Ref_Incident_Type WHERE incident_type_code  =  ""VIOLENCE"""
Find the maximum and minimum monthly rental for all student addresses.,"SELECT max(monthly_rental) ,  min(monthly_rental) FROM Student_Addresses"
"Find the first names of teachers whose email address contains the word ""man"".",SELECT first_name FROM Teachers WHERE email_address LIKE '%man%'
List all information about the assessment notes sorted by date in ascending order.,SELECT * FROM Assessment_Notes ORDER BY date_of_notes ASC
List all cities of addresses in alphabetical order.,SELECT city FROM Addresses ORDER BY city
Find the first names and last names of teachers in alphabetical order of last name.,"SELECT first_name ,  last_name FROM Teachers ORDER BY last_name"
"Find all information about student addresses, and sort by monthly rental in descending order.",SELECT * FROM Student_Addresses ORDER BY monthly_rental DESC
Find the id and first name of the student that has the most number of assessment notes?,"SELECT T1.student_id ,  T2.first_name FROM Assessment_Notes AS T1 JOIN Students AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1"
Find the ids and first names of the 3 teachers that have the most number of assessment notes?,"SELECT T1.teacher_id ,  T2.first_name FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id  =  T2.teacher_id GROUP BY T1.teacher_id ORDER BY count(*) DESC LIMIT 3"
Find the id and last name of the student that has the most behavior incidents?,"SELECT T1.student_id ,  T2.last_name FROM Behavior_Incident AS T1 JOIN Students AS T2 ON T1.student_id  =  T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1"
