question,sql
How many accounts do we have?,SELECT COUNT(*) FROM `Accounts`
Count the number of accounts.,SELECT COUNT(*) FROM `Accounts`
Show all account ids and account details.,"SELECT `account_id`, `account_details` FROM `Accounts`"
What are the ids and details of all accounts?,"SELECT `account_id`, `account_details` FROM `Accounts`"
How many statements do we have?,SELECT COUNT(*) FROM `Statements`
Count the number of statements.,SELECT COUNT(*) FROM `Statements`
List all statement ids and statement details.,"SELECT `STATEMENT_ID`, `statement_details` FROM `Statements`"
What are the ids and details of all statements?,"SELECT `STATEMENT_ID`, `statement_details` FROM `Statements`"
"Show statement id, statement detail, account detail for accounts.","SELECT `t1`.`statement_id`, `t2`.`statement_details`, `t1`.`account_details` FROM `Accounts` AS `t1` JOIN `Statements` AS `t2` ON `t1`.`statement_id` = `t2`.`statement_id`"
"What are the statement ids, statement details, and account details, for all accounts?","SELECT `t1`.`statement_id`, `t2`.`statement_details`, `t1`.`account_details` FROM `Accounts` AS `t1` JOIN `Statements` AS `t2` ON `t1`.`statement_id` = `t2`.`statement_id`"
Show all statement id and the number of accounts for each statement.,"SELECT `STATEMENT_ID`, COUNT(*) FROM `Accounts` GROUP BY `STATEMENT_ID`"
"What are the different statement ids on accounts, and the number of accounts for each?","SELECT `STATEMENT_ID`, COUNT(*) FROM `Accounts` GROUP BY `STATEMENT_ID`"
Show the statement id and the statement detail for the statement with most number of accounts.,"SELECT `t1`.`statement_id`, `t2`.`statement_details` FROM `Accounts` AS `t1` JOIN `Statements` AS `t2` ON `t1`.`statement_id` = `t2`.`statement_id` GROUP BY `t1`.`statement_id`, `t2`.`statement_details` ORDER BY COUNT(*) DESC LIMIT 1"
What are the statement id and statement detail for the statement that has the most corresponding accounts?,"SELECT `t1`.`statement_id`, `t2`.`statement_details` FROM `Accounts` AS `t1` JOIN `Statements` AS `t2` ON `t1`.`statement_id` = `t2`.`statement_id` GROUP BY `t1`.`statement_id`, `t2`.`statement_details` ORDER BY COUNT(*) DESC LIMIT 1"
Show the number of documents.,SELECT COUNT(*) FROM `Documents`
Count the number of documents.,SELECT COUNT(*) FROM `Documents`
"List the document type code, document name, and document description for the document with name 'Noel CV' or name 'King Book'.","SELECT `document_type_code`, `document_name`, `document_description` FROM `Documents` WHERE `document_name` = 'Noel CV' OR `document_name` = 'King Book'"
"What are the type come, name, and description of the document that has either the name 'Noel CV' or 'King Book'?","SELECT `document_type_code`, `document_name`, `document_description` FROM `Documents` WHERE `document_name` = 'Noel CV' OR `document_name` = 'King Book'"
Show the ids and names of all documents.,"SELECT `document_id`, `document_name` FROM `Documents`"
What are the ids and names for each of the documents?,"SELECT `document_id`, `document_name` FROM `Documents`"
Find names and ids of all documents with document type code BK.,"SELECT `document_name`, `document_id` FROM `Documents` WHERE `document_type_code` = 'BK'"
