question,sql
How many aircrafts are there?,SELECT COUNT(*) FROM `aircraft`
What is the number of aircraft?,SELECT COUNT(*) FROM `aircraft`
List the description of all aircrafts.,SELECT `Description` FROM `aircraft`
What are the descriptions for the aircrafts?,SELECT `Description` FROM `aircraft`
What is the average number of international passengers of all airports?,SELECT AVG(`International_Passengers`) FROM `airport`
What is the average number of international passengers for an airport?,SELECT AVG(`International_Passengers`) FROM `airport`
"What are the number of international and domestic passengers of the airport named London ""Heathrow""?","SELECT `International_Passengers`, `Domestic_Passengers` FROM `airport` WHERE `Airport_Name` = 'London Heathrow'"
How many international and domestic passengers are there in the airport London Heathrow?,"SELECT `International_Passengers`, `Domestic_Passengers` FROM `airport` WHERE `Airport_Name` = 'London Heathrow'"
"What are the total number of Domestic Passengers of airports that contain the word ""London"".",SELECT SUM(`Domestic_Passengers`) FROM `airport` WHERE `Airport_Name` LIKE '%London%'
What are the total number of domestic passengers at all London airports?,SELECT SUM(`Domestic_Passengers`) FROM `airport` WHERE `Airport_Name` LIKE '%London%'
What are the maximum and minimum number of transit passengers of all aiports.,"SELECT MAX(`Transit_Passengers`), MIN(`Transit_Passengers`) FROM `airport`"
What is the maximum and mininum number of transit passengers for all airports?,"SELECT MAX(`Transit_Passengers`), MIN(`Transit_Passengers`) FROM `airport`"
What are the name of pilots aged 25 or older?,SELECT `Name` FROM `pilot` WHERE `Age` >= 25
what is the name of every pilot who is at least 25 years old?,SELECT `Name` FROM `pilot` WHERE `Age` >= 25
List all pilot names in ascending alphabetical order.,SELECT `Name` FROM `pilot` ORDER BY `Name` ASC
What are the names of the pilots in alphabetical order?,SELECT `Name` FROM `pilot` ORDER BY `Name` ASC
List names of all pilot aged 30 or younger in descending alphabetical order.,SELECT `Name` FROM `pilot` WHERE `Age` <= 30 ORDER BY `Name` DESC
What are the names of all pilots 30 years old or young in descending alphabetical order?,SELECT `Name` FROM `pilot` WHERE `Age` <= 30 ORDER BY `Name` DESC
"Please show the names of aircrafts associated with airport with name ""London Gatwick"".",SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Gatwick'
What are the names of all the aircrafts associated with London Gatwick airport?,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Gatwick'
Please show the names and descriptions of aircrafts associated with airports that have a total number of passengers bigger than 10000000.,"SELECT `t1`.`Aircraft`, `t1`.`Description` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Total_Passengers` > 10000000"
What are the names and descriptions of aircrafts associated with an airport that has more total passengers than 10000000?,"SELECT `t1`.`Aircraft`, `t1`.`Description` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Total_Passengers` > 10000000"
"What is the average total number of passengers of airports that are associated with aircraft ""Robinson R-22""?",SELECT AVG(`t3`.`Total_Passengers`) FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t1`.`Aircraft` = 'Robinson R-22'
"What is the average total number of passengers for all airports that the aircraft ""Robinson R-22"" visits?",SELECT AVG(`t3`.`Total_Passengers`) FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t1`.`Aircraft` = 'Robinson R-22'
Please list the location and the winning aircraft name.,"SELECT `t2`.`Location`, `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft`"
What is the location and name of the winning aircraft?,"SELECT `t2`.`Location`, `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft`"
List the name of the aircraft that has been named winning aircraft the most number of times.,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft` ORDER BY COUNT(*) DESC LIMIT 1
What is the name of the aircraft that has won an award the most?,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft` ORDER BY COUNT(*) DESC LIMIT 1
List the names of aircrafts and the number of times it won matches.,"SELECT `t1`.`Aircraft`, COUNT(*) FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft`"
"For each aircraft that has won an award, what is its name and how many time has it won?","SELECT `t1`.`Aircraft`, COUNT(*) FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft`"
List names of all pilot in descending order of age.,SELECT `Name` FROM `pilot` ORDER BY `Age` DESC
What are the names of all pilots listed by descending age?,SELECT `Name` FROM `pilot` ORDER BY `Age` DESC
List the names of aircrafts and that won matches at least twice.,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft` HAVING COUNT(*) >= 2
What are the names of all aircrafts that have won a match at least twice?,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `match` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Winning_Aircraft` GROUP BY `t1`.`Aircraft` HAVING COUNT(*) >= 2
List the names of aircrafts and that did not win any match.,SELECT `Aircraft` FROM `aircraft` WHERE NOT `Aircraft_ID` IN (SELECT `Winning_Aircraft` FROM `match`)
What are the names of all aicrafts that have never won any match?,SELECT `Aircraft` FROM `aircraft` WHERE NOT `Aircraft_ID` IN (SELECT `Winning_Aircraft` FROM `match`)
"Show the names of aircrafts that are associated with both an airport named ""London Heathrow"" and an airport named ""London Gatwick""",SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Heathrow' INTERSECT SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Gatwick'
What are the names of all aircrafts that are associated with both London Heathrow and Gatwick airports?,SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Heathrow' INTERSECT SELECT `t1`.`Aircraft` FROM `aircraft` AS `t1` JOIN `airport_aircraft` AS `t2` ON `t1`.`Aircraft_ID` = `t2`.`Aircraft_ID` JOIN `airport` AS `t3` ON `t2`.`Airport_ID` = `t3`.`Airport_ID` WHERE `t3`.`Airport_Name` = 'London Gatwick'
Show all information on the airport that has the largest number of international passengers.,SELECT * FROM `airport` ORDER BY `International_Passengers` DESC LIMIT 1
What is all the information on the airport with the largest number of international passengers?,SELECT * FROM `airport` ORDER BY `International_Passengers` DESC LIMIT 1
find the name and age of the pilot who has won the most number of times among the pilots who are younger than 30.,"SELECT `t1`.`name`, `t1`.`age` FROM `pilot` AS `t1` JOIN `match` AS `t2` ON `t1`.`pilot_id` = `t2`.`winning_pilot` WHERE `t1`.`age` < 30 GROUP BY `t1`.`name`, `t1`.`age` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name and age of the pilot younger than 30 who has won the most number of times?,"SELECT `t1`.`name`, `t1`.`age` FROM `pilot` AS `t1` JOIN `match` AS `t2` ON `t1`.`pilot_id` = `t2`.`winning_pilot` WHERE `t1`.`age` < 30 GROUP BY `t1`.`name`, `t1`.`age` ORDER BY COUNT(*) DESC LIMIT 1"
what is the name and age of the youngest winning pilot?,"SELECT `t1`.`name`, `t1`.`age` FROM `pilot` AS `t1` JOIN `match` AS `t2` ON `t1`.`pilot_id` = `t2`.`winning_pilot` ORDER BY `t1`.`age` LIMIT 1"
