question,sql
"Find the id of the item whose title is ""orange"".",SELECT `i_id` FROM `item` WHERE `title` = 'orange'
List all information in the item table.,SELECT * FROM `item`
Find the number of reviews.,SELECT COUNT(*) FROM `review`
How many users are there?,SELECT COUNT(*) FROM `useracct`
Find the average and maximum rating of all reviews.,"SELECT AVG(`rating`), MAX(`rating`) FROM `review`"
Find the highest rank of all reviews.,SELECT MIN(`rank`) FROM `review`
How many different users wrote some reviews?,SELECT COUNT(DISTINCT `u_id`) FROM `review`
How many different items were reviewed by some users?,SELECT COUNT(DISTINCT `i_id`) FROM `review`
Find the number of items that did not receive any review.,SELECT COUNT(*) FROM `item` WHERE NOT `i_id` IN (SELECT `i_id` FROM `review`)
Find the names of users who did not leave any review.,SELECT `name` FROM `useracct` WHERE NOT `u_id` IN (SELECT `u_id` FROM `review`)
Find the names of goods that receive a rating of 10.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rating` = 10
Find the titles of items whose rating is higher than the average review rating of all items.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rating` > (SELECT AVG(`rating`) FROM `review`)
Find the titles of items that received any rating below 5.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rating` < 5
Find the titles of items that received both a rating higher than 8 and a rating below 5.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rating` > 8 INTERSECT SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rating` < 5
Find the names of items whose rank is higher than 3 and whose average rating is above 5.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` WHERE `t2`.`rank` > 3 INTERSECT SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` GROUP BY `t1`.`title` HAVING AVG(`t2`.`rating`) > 5
Find the name of the item with the lowest average rating.,SELECT `t1`.`title` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` GROUP BY `t1`.`title` ORDER BY AVG(`t2`.`rating`) LIMIT 1
List the titles of all items in alphabetic order .,SELECT `title` FROM `item` ORDER BY `title`
Find the name of the user who gives the most reviews.,SELECT `t1`.`name` FROM `useracct` AS `t1` JOIN `review` AS `t2` ON `t1`.`u_id` = `t2`.`u_id` GROUP BY `t1`.`name` ORDER BY COUNT(*) DESC LIMIT 1
Find the name and id of the item with the highest average rating.,"SELECT `t1`.`title`, `t1`.`i_id` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` GROUP BY `t1`.`title`, `t1`.`i_id` ORDER BY AVG(`t2`.`rating`) DESC LIMIT 1"
Find the name and id of the good with the highest average rank.,"SELECT `t1`.`title`, `t1`.`i_id` FROM `item` AS `t1` JOIN `review` AS `t2` ON `t1`.`i_id` = `t2`.`i_id` GROUP BY `t1`.`title`, `t1`.`i_id` ORDER BY AVG(`t2`.`rank`) DESC LIMIT 1"
"For each user, return the name and the average rating of reviews given by them.","SELECT `t1`.`name`, AVG(`t2`.`rating`) FROM `useracct` AS `t1` JOIN `review` AS `t2` ON `t1`.`u_id` = `t2`.`u_id` GROUP BY `t1`.`name`"
"For each user, find their name and the number of reviews written by them.","SELECT `t1`.`name`, COUNT(*) FROM `useracct` AS `t1` JOIN `review` AS `t2` ON `t1`.`u_id` = `t2`.`u_id` GROUP BY `t1`.`name`"
Find the name of the user who gave the highest rating.,SELECT `t1`.`name` FROM `useracct` AS `t1` JOIN `review` AS `t2` ON `t1`.`u_id` = `t2`.`u_id` ORDER BY `t2`.`rating` DESC LIMIT 1
Find the name of the source user with the highest average trust score.,SELECT `t1`.`name` FROM `useracct` AS `t1` JOIN `trust` AS `t2` ON `t1`.`u_id` = `t2`.`source_u_id` GROUP BY `t1`.`name` ORDER BY AVG(`trust`) DESC LIMIT 1
Find each target user's name and average trust score.,"SELECT `t1`.`name`, AVG(`trust`) FROM `useracct` AS `t1` JOIN `trust` AS `t2` ON `t1`.`u_id` = `t2`.`target_u_id` GROUP BY `t1`.`name`"
Find the name of the target user with the lowest trust score.,SELECT `t1`.`name` FROM `useracct` AS `t1` JOIN `trust` AS `t2` ON `t1`.`u_id` = `t2`.`target_u_id` ORDER BY `trust` LIMIT 1
Find the names of the items that did not receive any review.,SELECT `title` FROM `item` WHERE NOT `i_id` IN (SELECT `i_id` FROM `review`)
Find the number of users who did not write any review.,SELECT COUNT(*) FROM `useracct` WHERE NOT `u_id` IN (SELECT `u_id` FROM `review`)
Find the number of items without any review.,SELECT COUNT(*) FROM `item` WHERE NOT `i_id` IN (SELECT `i_id` FROM `review`)
