question,sql
Find the titles of all movies directed by steven spielberg.,SELECT `title` FROM `Movie` WHERE `director` = 'Steven Spielberg'
What are the names of all movies directed by Steven Spielberg?,SELECT `title` FROM `Movie` WHERE `director` = 'Steven Spielberg'
What is the name of the movie produced after 2000 and directed by James Cameron?,SELECT `title` FROM `Movie` WHERE `director` = 'James Cameron' AND `YEAR` > 2000
What are the titles of all movies that James Cameron directed after 2000?,SELECT `title` FROM `Movie` WHERE `director` = 'James Cameron' AND `YEAR` > 2000
How many movies were made before 2000?,SELECT COUNT(*) FROM `Movie` WHERE `YEAR` < 2000
How many movies were made before 2000?,SELECT COUNT(*) FROM `Movie` WHERE `YEAR` < 2000
Who is the director of movie Avatar?,SELECT `director` FROM `Movie` WHERE `title` = 'Avatar'
Who directed Avatar?,SELECT `director` FROM `Movie` WHERE `title` = 'Avatar'
How many reviewers listed?,SELECT COUNT(*) FROM `Reviewer`
How many reviewers are there?,SELECT COUNT(*) FROM `Reviewer`
What is the id of the reviewer whose name has substring “Mike”?,SELECT `rID` FROM `Reviewer` WHERE `name` LIKE `%Mike%`
"What is the id of the reviewer whose name includes the word ""Mike""?",SELECT `rID` FROM `Reviewer` WHERE `name` LIKE `%Mike%`
What is the reviewer id of Daniel Lewis?,SELECT `rID` FROM `Reviewer` WHERE `name` = `Daniel Lewis`
What is the id of the reviewer named Daniel Lewis?,SELECT `rID` FROM `Reviewer` WHERE `name` = `Daniel Lewis`
What is the total number of ratings that has more than 3 stars?,SELECT COUNT(*) FROM `Rating` WHERE `stars` > 3
How many movie ratings have more than 3 stars?,SELECT COUNT(*) FROM `Rating` WHERE `stars` > 3
What is the lowest and highest rating star?,"SELECT MAX(`stars`), MIN(`stars`) FROM `Rating`"
What is the maximum and mininum number of stars a rating can receive?,"SELECT MAX(`stars`), MIN(`stars`) FROM `Rating`"
"Find all years that have a movie that received a rating of 4 or 5, and sort them in increasing order of year.",SELECT DISTINCT `YEAR` FROM `Movie` AS `T1` JOIN `Rating` AS `T2` ON `T1`.`mID` = `T2`.`mID` WHERE `T2`.`stars` >= 4 ORDER BY `T1`.`year`
"In what years did a movie receive a 4 or 5 star rating, and list the years from oldest to most recently?",SELECT DISTINCT `YEAR` FROM `Movie` AS `T1` JOIN `Rating` AS `T2` ON `T1`.`mID` = `T2`.`mID` WHERE `T2`.`stars` >= 4 ORDER BY `T1`.`year`
