question,sql
What are the distinct grant amount for the grants where the documents were sent before '1986-08-26 20:49:27' and grant were ended after '1989-03-16 18:27:16'?,SELECT `T1`.`grant_amount` FROM `Grants` AS `T1` JOIN `Documents` AS `T2` ON `T1`.`grant_id` = `T2`.`grant_id` WHERE `T2`.`sent_date` < '1986-08-26 20:49:27' INTERSECT SELECT `grant_amount` FROM `grants` WHERE `grant_end_date` > '1989-03-16 18:27:16'
What are the different grant amounts for documents sent before '1986-08-26 20:49:27' and after the grant ended on '1989-03-16 18:27:16'?,SELECT `T1`.`grant_amount` FROM `Grants` AS `T1` JOIN `Documents` AS `T2` ON `T1`.`grant_id` = `T2`.`grant_id` WHERE `T2`.`sent_date` < '1986-08-26 20:49:27' INTERSECT SELECT `grant_amount` FROM `grants` WHERE `grant_end_date` > '1989-03-16 18:27:16'
List the project details of the project both producing patent and paper as outcomes.,SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`outcome_code` = 'Paper' INTERSECT SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`outcome_code` = 'Patent'
What are the details of the project that is producing both patents and papers as outcomes?,SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`outcome_code` = 'Paper' INTERSECT SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`outcome_code` = 'Patent'
What is the total grant amount of the organisations described as research?,SELECT SUM(`grant_amount`) FROM `Grants` AS `T1` JOIN `Organisations` AS `T2` ON `T1`.`organisation_id` = `T2`.`organisation_id` JOIN `organisation_Types` AS `T3` ON `T2`.`organisation_type` = `T3`.`organisation_type` WHERE `T3`.`organisation_type_description` = 'Research'
What is the total amount of grant money for research?,SELECT SUM(`grant_amount`) FROM `Grants` AS `T1` JOIN `Organisations` AS `T2` ON `T1`.`organisation_id` = `T2`.`organisation_id` JOIN `organisation_Types` AS `T3` ON `T2`.`organisation_type` = `T3`.`organisation_type` WHERE `T3`.`organisation_type_description` = 'Research'
List from which date and to which date these staff work: project staff of the project which hires the most staffs,"SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `project_id` IN (SELECT `project_id` FROM `Project_Staff` GROUP BY `project_id` ORDER BY COUNT(*) DESC LIMIT 1) UNION SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `role_code` = 'leader'"
From what date and to what date do the staff work on a project that has the most staff and has staff in a leader role?,"SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `project_id` IN (SELECT `project_id` FROM `Project_Staff` GROUP BY `project_id` ORDER BY COUNT(*) DESC LIMIT 1) UNION SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `role_code` = 'leader'"
Find the organisation ids and details of the organisations which are involved in,"SELECT `T2`.`organisation_id`, `T2`.`organisation_details` FROM `Grants` AS `T1` JOIN `Organisations` AS `T2` ON `T1`.`organisation_id` = `T2`.`organisation_id` GROUP BY `T2`.`organisation_id` HAVING SUM(`T1`.`grant_amount`) > 6000"
What are the ids and details for all organizations that have grants of more than 6000 dollars?,"SELECT `T2`.`organisation_id`, `T2`.`organisation_details` FROM `Grants` AS `T1` JOIN `Organisations` AS `T2` ON `T1`.`organisation_id` = `T2`.`organisation_id` GROUP BY `T2`.`organisation_id` HAVING SUM(`T1`.`grant_amount`) > 6000"
What is the organisation type and id of the organisation which has the most number of research staff?,"SELECT `T1`.`organisation_type`, `T1`.`organisation_id` FROM `Organisations` AS `T1` JOIN `Research_Staff` AS `T2` ON `T1`.`organisation_id` = `T2`.`employer_organisation_id` GROUP BY `T1`.`organisation_id` ORDER BY COUNT(*) DESC LIMIT 1"
What is the type and id of the organization that has the most research staff?,"SELECT `T1`.`organisation_type`, `T1`.`organisation_id` FROM `Organisations` AS `T1` JOIN `Research_Staff` AS `T2` ON `T1`.`organisation_id` = `T2`.`employer_organisation_id` GROUP BY `T1`.`organisation_id` ORDER BY COUNT(*) DESC LIMIT 1"
Which organisation type hires most research staff?,SELECT `T1`.`organisation_type` FROM `Organisations` AS `T1` JOIN `Research_Staff` AS `T2` ON `T1`.`organisation_id` = `T2`.`employer_organisation_id` GROUP BY `T1`.`organisation_type` ORDER BY COUNT(*) DESC LIMIT 1
What is the type of the organization with the most research staff?,SELECT `T1`.`organisation_type` FROM `Organisations` AS `T1` JOIN `Research_Staff` AS `T2` ON `T1`.`organisation_id` = `T2`.`employer_organisation_id` GROUP BY `T1`.`organisation_type` ORDER BY COUNT(*) DESC LIMIT 1
Find out the send dates of the documents with the grant amount of more than 5000 were granted by organisation type described,SELECT `T1`.`sent_date` FROM `documents` AS `T1` JOIN `Grants` AS `T2` ON `T1`.`grant_id` = `T2`.`grant_id` JOIN `Organisations` AS `T3` ON `T2`.`organisation_id` = `T3`.`organisation_id` JOIN `organisation_Types` AS `T4` ON `T3`.`organisation_type` = `T4`.`organisation_type` WHERE `T2`.`grant_amount` > 5000 AND `T4`.`organisation_type_description` = 'Research'
What are the send dates for all documents that have a grant amount of more than 5000 and are involved in research?,SELECT `T1`.`sent_date` FROM `documents` AS `T1` JOIN `Grants` AS `T2` ON `T1`.`grant_id` = `T2`.`grant_id` JOIN `Organisations` AS `T3` ON `T2`.`organisation_id` = `T3`.`organisation_id` JOIN `organisation_Types` AS `T4` ON `T3`.`organisation_type` = `T4`.`organisation_type` WHERE `T2`.`grant_amount` > 5000 AND `T4`.`organisation_type_description` = 'Research'
What are the response received dates for the documents described as 'Regular' or granted with more than 100?,SELECT `T1`.`response_received_date` FROM `Documents` AS `T1` JOIN `Document_Types` AS `T2` ON `T1`.`document_type_code` = `T2`.`document_type_code` JOIN `Grants` AS `T3` ON `T1`.`grant_id` = `T3`.`grant_id` WHERE `T2`.`document_description` = 'Regular' OR `T3`.`grant_amount` > 100
What is the response received date for the document described as Regular that was granted more than 100 dollars?,SELECT `T1`.`response_received_date` FROM `Documents` AS `T1` JOIN `Document_Types` AS `T2` ON `T1`.`document_type_code` = `T2`.`document_type_code` JOIN `Grants` AS `T3` ON `T1`.`grant_id` = `T3`.`grant_id` WHERE `T2`.`document_description` = 'Regular' OR `T3`.`grant_amount` > 100
List the project details of the projects which did not hire any staff for a researcher role.,SELECT `project_details` FROM `Projects` WHERE NOT `project_id` IN (SELECT `project_id` FROM `Project_Staff` WHERE `role_code` = 'researcher')
What are the details for all projects that did not hire any staff in a research role?,SELECT `project_details` FROM `Projects` WHERE NOT `project_id` IN (SELECT `project_id` FROM `Project_Staff` WHERE `role_code` = 'researcher')
"What are the task details, task id and project id for the projects which are detailed as 'omnis' or  have more than 2 outcomes?","SELECT `T1`.`task_details`, `T1`.`task_id`, `T2`.`project_id` FROM `Tasks` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`project_details` = 'omnis' UNION SELECT `T1`.`task_details`, `T1`.`task_id`, `T2`.`project_id` FROM `Tasks` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` JOIN `Project_outcomes` AS `T3` ON `T2`.`project_id` = `T3`.`project_id` GROUP BY `T2`.`project_id` HAVING COUNT(*) > 2"
"What are the task details, task ids, and project ids for the progrects that are detailed as 'omnis' or have at least 3 outcomes?","SELECT `T1`.`task_details`, `T1`.`task_id`, `T2`.`project_id` FROM `Tasks` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` WHERE `T2`.`project_details` = 'omnis' UNION SELECT `T1`.`task_details`, `T1`.`task_id`, `T2`.`project_id` FROM `Tasks` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` JOIN `Project_outcomes` AS `T3` ON `T2`.`project_id` = `T3`.`project_id` GROUP BY `T2`.`project_id` HAVING COUNT(*) > 2"
"When do all the researcher role staff start to work, and when do they stop working?","SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `role_code` = 'researcher'"
When did researchers start and stop working?,"SELECT `date_from`, `date_to` FROM `Project_Staff` WHERE `role_code` = 'researcher'"
How many kinds of roles are there for the staff?,SELECT COUNT(DISTINCT `role_code`) FROM `Project_Staff`
How many different roles are there on the project staff?,SELECT COUNT(DISTINCT `role_code`) FROM `Project_Staff`
What is the total amount of grants given by each organisations? Also list the organisation id.,"SELECT SUM(`grant_amount`), `organisation_id` FROM `Grants` GROUP BY `organisation_id`"
What is the total amount of grant money given to each organization and what is its id?,"SELECT SUM(`grant_amount`), `organisation_id` FROM `Grants` GROUP BY `organisation_id`"
List the project details of the projects with the research outcome described with the substring 'Published'.,SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` JOIN `Research_outcomes` AS `T3` ON `T2`.`outcome_code` = `T3`.`outcome_code` WHERE `T3`.`outcome_description` LIKE '%Published%'
What are the details for the project whose research has been published?,SELECT `T1`.`project_details` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` JOIN `Research_outcomes` AS `T3` ON `T2`.`outcome_code` = `T3`.`outcome_code` WHERE `T3`.`outcome_description` LIKE '%Published%'
How many staff does each project has? List the project id and the number in an ascending order.,"SELECT `T1`.`project_id`, COUNT(*) FROM `Project_Staff` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` GROUP BY `T1`.`project_id` ORDER BY COUNT(*) ASC"
"For each project id, how many staff does it have? List them in increasing order.","SELECT `T1`.`project_id`, COUNT(*) FROM `Project_Staff` AS `T1` JOIN `Projects` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` GROUP BY `T1`.`project_id` ORDER BY COUNT(*) ASC"
What is the complete description of the researcher role.,SELECT `role_description` FROM `Staff_Roles` WHERE `role_code` = 'researcher'
What is the complete description of the job of a researcher?,SELECT `role_description` FROM `Staff_Roles` WHERE `role_code` = 'researcher'
When did the first staff for the projects started working?,SELECT `date_from` FROM `Project_Staff` ORDER BY `date_from` ASC LIMIT 1
When did the first staff member start working?,SELECT `date_from` FROM `Project_Staff` ORDER BY `date_from` ASC LIMIT 1
Which project made the most number of outcomes? List the project details and the project id.,"SELECT `T1`.`project_details`, `T1`.`project_id` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` GROUP BY `T1`.`project_id` ORDER BY COUNT(*) DESC LIMIT 1"
What are the details and id of the project with the most outcomes?,"SELECT `T1`.`project_details`, `T1`.`project_id` FROM `Projects` AS `T1` JOIN `Project_outcomes` AS `T2` ON `T1`.`project_id` = `T2`.`project_id` GROUP BY `T1`.`project_id` ORDER BY COUNT(*) DESC LIMIT 1"
Which projects have no outcome? List the project details.,SELECT `project_details` FROM `Projects` WHERE NOT `project_id` IN (SELECT `project_id` FROM `Project_outcomes`)
What are the details of the project with no outcomes?,SELECT `project_details` FROM `Projects` WHERE NOT `project_id` IN (SELECT `project_id` FROM `Project_outcomes`)
"Which organisation hired the most number of research staff? List the organisation id, type and detail.","SELECT `T1`.`organisation_id`, `T1`.`organisation_type`, `T1`.`organisation_details` FROM `Organisations` AS `T1` JOIN `Research_Staff` AS `T2` ON `T1`.`organisation_id` = `T2`.`employer_organisation_id` GROUP BY `T1`.`organisation_id` ORDER BY COUNT(*) DESC LIMIT 1"
